title,link,authors,publication,description,Year,language,flag,what to do,,
Multiscale corner detection in planar shapes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:Zph67rFs4hoC,"IC Paula, FNS Medeiros, FN Bezerra, DM Ushizima","Journal of mathematical imaging and vision 45 (3), 251-263, 2013"," This paper presents a multiscale corner detection method in planar shapes, which applies an undecimated Mexican hat wavelet decomposition of the angulation signal to identify significant points on a shape contour. The advantage of using this wavelet is that it is well suited for detecting singularities as corners and contours due to its excellent selectivity in position. Thus, this wavelet plays an important role in our approach because it identifies changes in non-stationary angulation signals, and it can be extended to multidimensional approaches in an efficient way when approximating this wavelet by difference of Gaussians. The proposed algorithm detects peaks on a correlation signal which is generated from different wavelet scales and retains relevant points on the decomposed angulation signal while discards poor information. Our approach assumes that only peaks which persist through several scales …",2013,en,,,,
Microstructure and water absorption of ancient concrete from Pompeii: An integrated synchrotron microtomography and neutron radiography characterization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:b0M2c_1WBrUC,"K Xu, AS Tremsin, J Li, DM Ushizima, CA Davy, A Bouterf, YT Su, ...","Cement and Concrete Research 139, 106282, 2021","There is renewed interest in using advanced techniques to characterize ancient Roman concrete due to its exceptional durability and low-carbon footprint. In the present work, samples were drilled from the “Hospitium” in Pompeii and were analyzed by synchrotron microtomography (μCT) and neutron radiography to study how the microstructure, including the presence of induced cracks, affects their water adsorption. The water distribution and absorptivity were quantified by neutron radiography. The 3D crack propagation, pore size distribution and orientation, tortuosity, and connectivity were analyzed from μCT results using advanced imaging methods. Porosity was also measured by mercury intrusion porosimetry (MIP) as a reference. Ductile fracture patterns were observed once cracks were introduced. Compared to Portland cement mortar/concrete, the Pompeii samples had relatively high porosity, low …",2021,en,,,,
Machine learning for micro-tomography,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:TQgYirikUcIC,"DY Parkinson, DM Pelt, T Perciano, D Ushizima, H Krishnan, HS Barnard, ...","Developments in X-Ray Tomography XI 10391, 85-92, 2017","Machine learning has revolutionized a number of fields, but many micro-tomography users have never used it for their work. The micro-tomography beamline at the Advanced Light Source (ALS), in collaboration with the Center for Applied Mathematics for Energy Research Applications (CAMERA) at Lawrence Berkeley National Laboratory, has now deployed a series of tools to automate data processing for ALS users using machine learning. This includes new reconstruction algorithms, feature extraction tools, and image classification and recommen- dation systems for scientific image. Some of these tools are either in automated pipelines that operate on data as it is collected or as stand-alone software. Others are deployed on computing resources at Berkeley Lab–from workstations to supercomputers–and made accessible to users through either scripting or easy-to-use graphical interfaces. This paper presents a …",2017,en,,,,
Fast neural network predictions from constrained aerodynamics datasets,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:yD5IFk8b50cC,"C White, D Ushizima, C Farhat","AIAA Scitech 2020 Forum, 0364, 2020","Incorporating computational fluid dynamics in the design process of jets, spacecraft, or gas turbine engines is often challenged by the required computational resources and simulation time, which depend on the chosen physics-based computational models and grid resolutions. An ongoing problem in the field is how to simulate these systems faster but with sufficient accuracy. While many approaches involve simplified models of the underlying physics, others are model-free and make predictions based only on existing simulation data. We present a novel model-free approach in which we reformulate the simulation problem to effectively increase the size of constrained pre-computed datasets and introduce a novel neural network architecture (called a cluster network) with an inductive bias well-suited to highly nonlinear computational fluid dynamics solutions. Compared to the state-of-the-art in model-based …",2020,en,,,,
Reduced-complexity image segmentation under parallel markov random field formulation using graph partitioning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:RHpTSmoSYBkC,"T Perciano, DM Ushizima, EW Bethel, YD Mizrahi, D Parkinson, ...","2016 IEEE International Conference on Image Processing (ICIP), 1259-1263, 2016","Markov Random Field (MRF) algorithms are powerful tools in image analysis to explore contextual information of data. However, the application of these methods to large data means that alternative approaches must be found to circumvent the NP-hard complexity of the MRF optimization. We introduce a MRF-based framework that overcomes this issue by using graph partitioning. The computational complexity is decreased as the optimization/parameter estimation is executed on small subgraphs. PMRF targets 3D microCT datasets, but we include evaluation on the Berkeley Segmentation Dataset (ranking 7th place) to fully compare our method with well-known segmentation algorithms. Segmentation results on the microCT datasets achieve precision higher than 95%.",2016,en,,,,
Structure recognition from high resolution images of ceramic composites,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:ufrVoPGSRksC,"D Ushizima, T Perciano, H Krishnan, B Loring, H Bale, D Parkinson, ...","2014 IEEE International Conference on Big Data (Big Data), 683-691, 2014","Fibers provide exceptional strength-to-weight ratio capabilities when woven into ceramic composites, transforming them into materials with exceptional resistance to high temperature, and high strength combined with improved fracture toughness. Microcracks are inevitable when the material is under strain, which can be imaged using synchrotron X-ray computed micro-tomography (μ-CT) for assessment of material mechanical toughness variation. An important part of this analysis is to recognize fibrillar features. This paper presents algorithms for detecting and quantifying composite cracks and fiber breaks from high-resolution image stacks. First, we propose recognition algorithms to identify the different structures of the composite, including matrix cracks and fibers breaks. Second, we introduce our package F3D for fast filtering of large 3D imagery, implemented in OpenCL to take advantage of graphic cards …",2014,en,,,,
Automatic microaneurysm detection and characterization through digital color fundus images,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:hMod-77fHWUC,"C Martins, R Veras, G Ramalho, F Medeiros, D Ushizima","Lawrence Berkeley National Lab.(LBNL), Berkeley, CA (United States), 2008","Ocular fundus images can provide information about retinal, ophthalmic, and even systemic diseases such as diabetes. Microaneurysms (MAs) are the earliest sign of Diabetic Retinopathy, a frequently observed complication in both type 1 and type 2 diabetes. Robust detection of MAs in digital color fundus images is critical in the development of automated screening systems for this kind of disease. Automatic grading of these images is being considered by health boards so that the human grading task is reduced. In this paper we describe segmentation and the feature extraction methods for candidate MAs detection.We show that the candidate MAs detected with the methodology have been successfully classified by a MLP neural network (correct classification of 84percent).",2008,en,,,,
Laser plasma particle accelerators: Large fields for smaller facility sources,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:J_g5lzvAfSwC,"CGR Geddes, E Cormier-Michel, EH Esarey, CB Schroeder, JL Vay, ...","SciDAC review, 2009","Compared to conventional particle accelerators, plasmas can sustain accelerating fields that are thousands of times higher. To exploit this ability, massively parallel SciDAC particle simulations provide physical insight into the development of next-generation accelerators that use laser-driven plasma waves. These plasma-based accelerators offer a path to more compact, ultra-fast particle and radiation sources for probing the subatomic world, for studying new materials and new technologies, and for medical applications.",2009,en,,,,
Validating deep learning inference during chest X-ray classification for COVID-19 screening,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:HE397vMXCloC,"R Sadre, B Sundaram, S Majumdar, D Ushizima","Scientific reports 11 (1), 1-10, 2021","The new coronavirus unleashed a worldwide pandemic in early 2020, and a fatality rate several times that of the flu. As the number of infections soared, and capabilities for testing lagged behind, chest X-ray (CXR) imaging became more relevant in the early diagnosis and treatment planning for patients with suspected or confirmed COVID-19 infection. In a few weeks, proposed new methods for lung screening using deep learning rapidly appeared, while quality assurance discussions lagged behind. This paper proposes a set of protocols to validate deep learning algorithms, including our ROI Hide-and-Seek protocol, which emphasizes or hides key regions of interest from CXR data. Our protocol allows assessing the classification performance for anomaly detection and its correlation to radiological signatures, an important issue overlooked in several deep learning approaches proposed so far. By running a set of …",2021,en,,,,
A multi-objective approach for calibration and detection of cervical cells nuclei,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:Se3iqnhoufwC,"PHC Oliveira, G Moreira, DM Ushizima, CM Carneiro, FNS Medeiros, ...","2017 IEEE Congress on Evolutionary Computation (CEC), 2321-2327, 2017","The automation process of Pap smear analysis holds the potential to address women's health care in the face of an increasing population and respective collected data. A fundamental step for automating analysis is cell detection from light microscopy images. Such information serves as input to cell classification algorithms and diagnostic recommendation tools. This paper describes an approach to nuclei cell segmentation, which critically impacts the following steps for cell analyses. We developed an algorithm combining clustering and genetic algorithms to detect image regions with high diagnostic value. A major problem when performing the segmentation of images is the cellular overlay. We introduce a new nuclear targeting approach using heuristics associated with a multi-objective genetic algorithm. Our experiments show results using a public 45-image dataset, including comparison to other cell detection …",2017,en,,,,
Assessing the accuracy of macula detection methods in retinal images,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:9yKSN-GCB0IC,"R Veras, F Medeiros, R Silva, D Ushizima","2013 18th International Conference on Digital Signal Processing (DSP), 1-6, 2013","Fundus images are valuable resource in diagnosis because they often present indications about retinal, ophthalmic, and even systemic diseases such as diabetes, hypertension, and arteriosclerosis. Processing and analysis constitutes a relevant task to help specialists in detecting eye diseases. This paper focuses on algorithms to detect macula, a fundamental structure associated with the macular degeneration, that can be recognized from fundus image. We notice two typical ways in which macula detection algorithms have been evaluated: a) one uses a particular image or a single benchmark retina image database instead of several public ones; b) one selects an ad-hoc set of metrics to perform the evaluation for the lack of a standard. In this paper, we propose a set of rules to assess macula detection algorithms, then we compare four macula detection algorithms, using three public benchmark databases, using …",2013,en,,,,
Neural networks predict fluid dynamics solutions from tiny datasets,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:2P1L_qKh6hAC,"C White, D Ushizima, C Farhat","arXiv preprint arXiv:1902.00091, 2019","In computational fluid dynamics, it often takes days or weeks to simulate the aerodynamic behavior of designs such as jets, spacecraft, or gas turbine engines. One of the biggest open problems in the field is how to simulate such systems much more quickly with sufficient accuracy. Many approaches have been tried; some involve models of the underlying physics, while others are modelfree and make predictions based only on existing simulation data. However, all previous approaches have severe shortcomings or limitations. We present a novel approach: we reformulate the prediction problem to effectively increase the size of the otherwise tiny datasets, and we introduce a new neural network architecture (called a cluster network) with an inductive bias wellsuited to fluid dynamics problems. Compared to state-of-the-art model-based approximations, we show that our approach is nearly as accurate, an order of magnitude faster and vastly easier to apply. Moreover, our method outperforms previous model-free approaches.",2019,en,,,,
Cric searchable image database as a public platform for conventional pap smear cytology data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:5ugPr518TE4C,"MT Rezende, R Silva, FO Bernardo, AHG Tobias, PHC Oliveira, ...","Scientific data 8 (1), 1-8, 2021","Amidst the current health crisis and social distancing, telemedicine has become an important part of mainstream of healthcare, and building and deploying computational tools to support screening more efficiently is an increasing medical priority. The early identification of cervical cancer precursor lesions by Pap smear test can identify candidates for subsequent treatment. However, one of the main challenges is the accuracy of the conventional method, often subject to high rates of false negative. While machine learning has been highlighted to reduce the limitations of the test, the absence of high-quality curated datasets has prevented strategies development to improve cervical cancer screening. The Center for Recognition and Inspection of Cells (CRIC) platform enables the creation of CRIC Cervix collection, currently with 400 images (1,376 × 1,020 pixels) curated from conventional Pap smears, with manual …",2021,en,,,,
Materials data science for microstructural characterization of archaeological concrete,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:bFI3QPDXJZMC,"D Ushizima, K Xu, PJM Monteiro","MRS Advances 5 (7), 305-318, 2020","Ancient Roman concrete presents exceptional durability, low-carbon footprint, and interlocking minerals that add cohesion to the final composition. Understanding of the structural characteristics of these materials using X-ray tomography (XRT) is of paramount importance in the process of designing future materials with similar complex heterogeneous structures. We introduce Materials Data Science algorithms centered on image analysis of XRT that support inspection and quantification of microstructure from ancient Roman concrete samples. By using XRT imaging, we access properties of two concrete samples in terms of three different material phases as well as estimation of materials fraction, visualization of the porous network and density gradients. These samples present remarkable durability in comparison with the concrete using Portland cement and nonreactive aggregates. Internal structures and respective …",2020,en,,,,
Real-time data-intensive computing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:R3hNpaxXUhUC,"DY Parkinson, K Beattie, X Chen, J Correa, E Dart, BJ Daurer, ...","AIP Conference Proceedings 1741 (1), 050001, 2016","Today users visit synchrotrons as sources of understanding and discovery—not as sources of just light, and not as sources of data. To achieve this, the synchrotron facilities frequently provide not just light but often the entire end station and increasingly, advanced computational facilities that can reduce terabytes of data into a form that can reveal a new key insight. The Advanced Light Source (ALS) has partnered with high performance computing, fast networking, and applied mathematics groups to create a “super-facility”, giving users simultaneous access to the experimental, computational, and algorithmic resources to make this possible. This combination forms an efficient closed loop, where data—despite its high rate and volume—is transferred and processed immediately and automatically on appropriate computing resources, and results are extracted, visualized, and presented to users or to the experimental …",2016,en,,,,
Material science image analysis using Quant-CT in ImageJ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:9ZlFYXVOiuMC,"DM Ushizima, AGC Bianchi, C DeBianchi, E Bethel",,"We introduce a computational analysis workflow to access properties of solid objects using nondestructive imaging techniques that rely on X-ray imaging. The goal is to process and quantify structures from material science sample cross sections. The algorithms can differentiate the porous media (high density material) from the void (background, low density media) using a Boolean classifier, so that we can extract features, such as volume, surface area, granularity spectrum, porosity, among others. Our workflow, Quant-CT, leverages several algorithmsfrom ImageJ, such as statistical region merging and 3D object counter. It also includes schemes for bilateral filtering that use a 3D kernel, for parallel processing of sub-stacks, and for handling over-segmentation using histogram similarities. The Quant-CT supports fast user interaction, providing the ability for the user to train the algorithm via subsamples to feed its core algorithms with automated parameterization. Quant-CT plugin is currently available for testing by personnel at the Advanced Light Source and Earth Sciences Divisions and Energy Frontier Research Center (EFRC), LBNL, as part of their research on porous materials. The goal is to understand the processes in fluid-rock systems for the geologic sequestration of CO2, and to develop technology for the safe storage of CO2 in deep subsurface rock formations. We describe our implementation, and demonstrate our plugin on porous material images. This paper targets end-users, with relevant information for developers to extend its current capabilities.",,en,,,,
Cultural analytics of large datasets from flickr,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:4JMBOYKVnBMC,"D Ushizima, L Manovich, T Margolis, J Douglas","Proceedings of the International AAAI Conference on Web and Social Media 6 …, 2012","Deluge became a metaphor to describe the amount of information to which we are subjected, and very often we feel we are drowning while our access to information is rising. Devising mechanisms for exploring massive image sets according to perceptual attributes is still a challenge, even more when dealing with user-generated social media content. Such images tend to be heterogenous, and using metadata-only can be misleading. This paper describes a set of tools designed to analyze large sets of user-created art related images using image features describing color, texture, composition and orientation. The proposed pipeline permits to discriminate Flickr groups in terms of feature vectors and clustering parameters. The algorithms are general enough to be applied to other domains in which the main question is about the variability of the images.",2012,en,,,,
Nearest-neighbour nanocrystal bonding dictates framework stability or collapse in colloidal nanocrystal frameworks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:qxL8FJ1GzNcC,"TE Williams, D Ushizima, C Zhu, A Anders, DJ Milliron, BA Helms","Chemical Communications 53 (35), 4853-4856, 2017","Block copolymers serve as architecture-directing agents for the assembly of colloidal nanocrystals into a variety of mesoporous solids. Here we report the fundamental order–disorder transition in such assemblies, which yield, on one hand, ordered colloidal nanocrystals frameworks or, alternatively, disordered mesoporous nanocrystal films. Our determination of the order–disorder transition is based on extensive image analysis of films after thermal processing. The number of nearest-nanocrystal neighbours emerges as a critical parameter dictating assembly outcomes, which is in turn determined by the nanocrystal volume fraction (fNC). We also identify the minimum fNC needed to support the structure against collapse.",2017,en,,,,
File system monitoring as a window into user I/O requirements,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:2osOgNQ5qMEC,"A Uselton, K Antypas, D Ushizima, J Sukharev","Proceedings of the 2010 Cray User Group Meeting, Edinburgh, Scotland, 2010","As part of the 2008-2009 upgrade of the Franklin Cray XT at the National Energy Research Scientific Computing center, its I/O resources were more than doubled. The extra bandwidth reduced contention for I/O resources and those resources were split into two file systems,/scratch and/scratch2, each with more bandwidth than the original/scratch. In an effort to improve responsiveness, NERSC consulting encouraged” big I/O” jobs to use/scratch2. File system monitoring data indicate that this division of the NERSC workload has been largely successful, and we present several useful characterizations of the two I/O workloads that resulted. This feedback for both the users and the center enhances NERSC’s ability to manage and provision Franklin’s I/O subsytem as well as to plan for future I/O requirements. The workload characterization presented here also lays the groundwork for the development of a rigorous methodology for measuring the impact of I/O on system utilization, which we outline in Future Work.",2010,en,,,,
Automatic beam path analysis of laser wakefield particle acceleration data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:TFP_iSt0sucC,"O Rübel, CGR Geddes, E Cormier-Michel, K Wu, GH Weber, ...","Computational Science & Discovery 2 (1), 015005, 2009","Numerical simulations of laser wakefield particle accelerators play a key role in the understanding of the complex acceleration process and in the design of expensive experimental facilities. As the size and complexity of simulation output grows, an increasingly acute challenge is the practical need for computational techniques that aid in scientific knowledge discovery. To that end, we present a set of data-understanding algorithms that work in concert in a pipeline fashion to automatically locate and analyze high-energy particle bunches undergoing acceleration in very large simulation datasets. These techniques work cooperatively by first identifying features of interest in individual timesteps, then integrating features across timesteps, and based on the information-derived perform analysis of temporally dynamic features. This combination of techniques supports accurate detection of particle beams enabling a …",2009,en,,,,
Interactive volumetric segmentation for textile micro‐tomography data using wavelets and nonlocal means,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:SeFeTyx0c_EC,"JML MacNeil, DM Ushizima, F Panerai, NN Mansour, HS Barnard, ...","Statistical Analysis and Data Mining: The ASA Data Science Journal 12 (4 …, 2019","This work addresses segmentation of volumetric images of woven carbon fiber textiles from micro‐tomography data. We propose a semi‐supervised algorithm to classify carbon fibers that requires sparse input as opposed to completely labeled images. The main contributions are: (a) design of effective discriminative classifiers, for three‐dimensional textile samples, trained on wavelet features for segmentation; (b) coupling of previous step with nonlocal means as simple, efficient alternative to the Potts model; and (c) demonstration of reuse of classifier to diverse samples containing similar content. We evaluate our work by curating test sets of voxels in the absence of a complete ground truth mask. The algorithm obtains an average 0.95 F1 score on test sets and average F1 score of 0.93 on new samples. We conclude with discussion of failure cases and propose future directions toward analysis of spatiotemporal …",2019,en,,,,
Making advanced scientific algorithms and big scientific data management more accessible,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:LkGwnXOMwfcC,"SV Venkatakrishnan, KA Mohan, K Beattie, J Correa, E Dart, JR Deslippe, ...","Electronic Imaging 2016 (19), 1-7, 2016","Synchrotrons such as the Advanced Light Source (ALS) at Lawrence Berkeley National Laboratory are user facilities - they are sources of extremely bright X-ray beams, and scientists come from all over the world to perform experiments that require these beams. As the complexity of experiments has increased, and the size and rates of data sets has exploded, managing, analyzing and presenting the data collected at synchrotrons has been an increasing challenge. The ALS has partnered with high performance computing, fast networking, and applied mathematics groups to create a“super-facility”, giving users simultaneous access to the experimental, computational, and algorithmic resources to overcome this challenge. This combination forms an efficient closed loop, where data despite its high rate and volume is transferred and processed, in many cases immediately and automatically, on appropriate compute …",2016,en,,,,
Radial feature descriptors for cell classification and recommendation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:pqnbT2bcN3wC,"RRV Silva, FHD Araujo, DM Ushizima, AGC Bianchi, CM Carneiro, ...","Journal of Visual Communication and Image Representation 62, 105-116, 2019","This paper introduces computational tools for cell classification into normal and abnormal, as well as content-based-image-retrieval (CBIR) for cell recommendation. It also proposes the radial feature descriptors (RFD), which define evenly interspaced segments around the nucleus, and proportional to the convexity of the nuclear boundary. Experiments consider Herlev and CRIC image databases as input to classification via Random Forest and bootstrap; we compare 14 different feature sets by means of False Negative Rate (FNR) and Kappa (κ), obtaining FNR= 0.02 and κ= 0.89 for Herlev, and FNR= 0.14 and κ= 0.78 for CRIC. Next, we sort and rank cell images using convolutional neural networks and evaluate performance with the Mean Average Precision (MAP), achieving MAP= 0.84 and MAP= 0.82 for Herlev and CRIC, respectively. Cell classification show encouraging results regarding RFD, including its …",2019,en,,,,
Automated analysis for detecting beams in laser wakefield simulations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:d1gkVwhDpl0C,"DM Ushizima, O Rübel, GH Weber, EW Bethel, CR Aragon, CGR Geddes, ...","2008 Seventh International Conference on Machine Learning and Applications …, 2008","Laser wakefield particle accelerators have shown the potential to generate electric fields thousands of times higher than those of conventional accelerators. The resulting extremely short particle acceleration distance could yield a potential new compact source of energetic electrons and radiation, with wide applications from medicine to physics. Physicists investigate laser-plasma internal dynamics by running particle-in-cell simulations; however, this generates a large dataset that requires time-consuming, manual inspection by experts in order to detect key features such as beam formation. This paper describes a framework to automate the data analysis and classification of simulation data. First, we propose a new method to identify locations with high density of particles in the space-time domain, based on maximum extremum point detection on the particle distribution. We analyze high density electron regions …",2008,en,,,,
Searching for cell signatures in multidimensional feature spaces,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:WA5NYHcadZ8C,"R Silva, F Araújo, M Rezende, P Oliveira, F Medeiros, R Veras, ...","International Journal of Biomedical Engineering and Technology 36 (3), 236-256, 2021","Despite research on cervical cells since 1925, systems to automatically screen images from conventional Pap smear tests continue to be unavailable. One of the main challenges in deploying precise software tools is to validate cell signatures. In this paper, we introduce an analysis framework, CRIC-feat, that expedites the investigation of different image databases and respective descriptors, particularly applicable to Pap images. This paper provides a three-fold contribution: 1) we first review and discuss the main feature extraction protocols for cell description and implementations suitable for cervical cells; 2) we present a new application of Gray level run length (GLRLM) features to Pap images; 3) we evaluate 93 cell classification approaches, and provide a guideline for obtaining the most accurate description, based on two current public databases with digital images of real cells. Finally, we show that the nucleus …",2021,en,,,,
Phase diagrams of polymer-containing liquid mixtures with a theory-embedded neural network,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:WbkHhVStYXYC,I Nakamura,"New Journal of Physics 22 (1), 015001, 2020","We develop a deep neural network (DNN) that accounts for the phase behaviors of polymer-containing liquid mixtures. The key component in the DNN consists of a theory-embedded layer that captures the characteristic features of the phase behavior via coarse-grained mean-field theory and scaling laws and substantially enhances the accuracy of the DNN. Moreover, this layer enables us to reduce the size of the DNN for the phase diagrams of the mixtures. This study also presents the predictive power of the DNN for the phase behaviors of polymer solutions and salt-free and salt-doped diblock copolymer melts.",2020,en,,,,
Saliency-driven system with deep learning for cell image classification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:3s1wT3WcHBgC,"DS Ferreira, GLB Ramalho, FNS Medeiros, AGC Bianchi, CM Carneiro, ...","2019 IEEE 16th International Symposium on Biomedical Imaging (ISBI 2019 …, 2019","This paper describes our automatic cell image classification algorithm that explores expert's eye tracking data combined to convolutional neural networks. Our framework selects regions of interest that attract cytologists attention, then it focuses computation on cell classification of these specific sub-images. Our contribution is to fuse deep learning to saliency maps from eye-tracking into an approach that bypasses segmentation to detect abnormal cells from Pap smear microscopy under real noisy conditions, artifacts and occlusion. Preliminary results show high classification accuracy of ~90% during tasks of locating and identifying critical cells within three levels: normal, low-risk disease and high-risk disease. We validate our results on 111 images containing 3,183 cells and obtained an average runtime of 4.5 seconds per image.",2019,en,,,,
Automated pap smear cell analysis: Optimizing the cervix cytological examination,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:QIV2ME_5wuYC,"DM Ushizima, AH Gomes, CM Carneiro, AGC Bianchi","2013 12th International Conference on Machine Learning and Applications 2 …, 2013","Cervical cancer screening is one of the most widespread tests in the world, and the acquisition of digital images of Pap smears is about to become part of the laboratories routine. The ability to collect these standard exam data has increased drastically, and available tools for image analysis and quantification are not accurate and/or customized enough to deliver relevant information about the image content. Aiming at enabling pathology laboratories to deal with large amounts of digitized Pap smears slides, we propose to design computer vision algorithms for quantitative analysis and pattern recognition from 2D images. The goal is to bring high technology to laboratories focused on underserved communities of women for the prevention of cervical cancer, in these public health care institutions, there is no perspective of using ""omics"" data in the medium term, but only clinical annotations and Pap smears slides. Here …",2013,en,,,,
Analysis and visualization for multiscale control of geologic CO2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:u-x6o8ySG0sC,"DM Ushizima, GH Weber, J Ajo-Franklin, Y Kim, A Macdowell, D Morozov, ...","Scientific Discovery through Advanced Computing (Scidac’2011), 2011","Many of the challenges at the Energy Frontier Research Center are associated with understanding the processes in fluid-rock systems for geologic sequestration of CO2, and developing technology for the safe storage of CO2 in deep subsurface rock formations. This paper describes ongoing research in analysis of experimental data, including videos of CO2 capillary trapping and dissolution, and computerized tomograms of porous materials. We discuss how we tackle visualization of numerical simulation output in key target areas as computing reaction rate in terms of the permeability based on inlet and outlet conditions of the porous media.",2011,en,,,,
Occam's razor and petascale visual data analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:mB3voiENLucC,"EW Bethel, C Johnson, S Ahern, J Bell, PT Bremer, H Childs, ...","Journal of Physics: Conference Series 180 (1), 012084, 2009","One of the central challenges facing visualization research is how to effectively enable knowledge discovery. An effective approach will likely combine application architectures that are capable of running on today's largest platforms to address the challenges posed by large data with visual data analysis techniques that help find, represent, and effectively convey scientifically interesting features and phenomena.",2009,en,,,,
Leukocyte detection using nucleus contour propagation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:ULOm3_A8WrAC,"DM Ushizima, RT Calado, EG Rizzatti","International Workshop on Medical Imaging and Virtual Reality, 389-396, 2006"," We propose a new technique for medical image segmentation, focused on front propagation in blood smear images to fully automate leukocyte detection. The current approach also incorporates contextual information, which it is especially important in direct general algorithms to the applied problem. A Bayesian classification of pixels is used to estimate cytoplasm color and is embedded in the speed function to accomplish cytoplasm boundary estimation. We report encouraging results, with evaluations considering difficult situations as cell adjacency and filamentous cytoplasmic projections.",2006,en,,,,
